5'nucleotidase increased	5'nucléotidase augmentée
Abasia	Abasie
Abdominal abscess	Abcés abdominal
Abdominal adhesions	Adhérences abdominales
Abdominal aortic aneurysm	Anévrisme de l'aorte abdominale
Abdominal aortic bruit	Bruit aortique abdominal
Abdominal aortic rupture	Rupture aortique abdominale
Abdominal bloating	Ballonnements abdominaux
Abdominal colic	Colique abdominale
Abdominal cramps	Crampes abdominales
Abdominal discomfort	Douleur abdominale
Abdominal disorder	Trouble abdominal
Abdominal distension	Distension de l'abdomen
Abdominal distension gaseous	Distension abdominale gazeuse
Abdominal distress	Détresse abdominale
Abdominal hernia	Hernie abdominale
Abdominal infection	Infection abdominale
Abdominal injury	Blessure abdominale
Abdominal neoplasm	Néoplasme abdominal
Abdominal pain	Douleur abdominale
Abdominal pain aggravated	Douleur abdominale aggravée
Abdominal pain generalised	Douleur abdominale généralisée
Abdominal pain localised	Douleur abdominale localisée
Abdominal pain lower	Douleur abdominale inférieure
Abdominal pain upper	Douleur abdominale supérieure
Abdominal rigidity	Rigidité abdominale
Abdominal sepsis	Septicémie abdominale
Abdominal spasm	Spasme abdominal
Abdominal strangulated hernia	Hernie étranglée abdominale
Abdominal symptom	Symptôme abdominal
Abdominal tenderness	Douleurs abdominales
Abdominal wall abscess	Abcés de la paroi abdominale
Abnormal behaviour	Comportement anormal
Abnormal bowel sounds	Bruits intestinaux anormaux
Abnormal chest sounds NOS	Sons thoraciques anormaux SAI
Abnormal clotting factor	Facteur de coagulation anormal
Abnormal dreams	R?ves anormaux
Abnormal ejaculation	Éjaculation anormale
Abnormal eye movements NOS	Mouvements oculaires anormaux SAI
Abnormal faeces	F?ces anormales
Abnormal involuntary movements	Mouvements involontaires anormaux
Abnormal labour	Accouchement anormal
Abnormal pigmentation	Pigmentation anormale
Abnormal platelets	Plaquettes anormales
Abnormal sensation in eye	Sensation anormale dans l'?il
Abnormal sleep-related event	Événement anormal lié au sommeil
Abnormal vision	Vision anormale
Abnormal withdrawal bleeding	Saignement de sevrage anormal
Abnormalities of the hair	Anomalies des cheveux
Abortion	Avortement
Abortion incomplete	Avortement incomplet
Abortion infected	Avortement infecté
Abortion missed	Avortement manqué
Abortion spontaneous	Avortement spontané
Abrasion NOS	Abrasion NOS
Abscess	Abc?s
Abscess limb	Abc?s d’un membre
Abscess periodontal	Abc?s parodontal
Abscess sterile	Abc?s stérile
Abscesses of skin	Abc?s cutanés
Absence congenital	Absence congénitale
Absolute neutrophil count decreased	Nombre absolu de neutrophiles diminué
Acalculous cholecystitis	Cholécystite acalculeuse
Acanthamoeba keratitis	Kératite ? Acanthamoeba
Acanthosis nigricans	Acanthosis nigricans
Acarodermatitis	Acarodermatite
Accelerated hair loss	Chute de cheveux accélérée
Accident	Accident
Accident at home	Accident ? domicile
Accidental exposure to product	Exposition accidentelle au produit
Accidental ingestion	Ingestion accidentelle
Accidental injury	Blessure accidentelle
Accidental overdose	Surdosage accidentel
Accommodation disorder	Trouble de l'accommodation
Accommodative component in esotropia	Composant accommodatif dans l'ésotropie
Acetonaemia	Acétonémie
Ache	Mal
Ache wrists	Poignets douloureux
Achlorhydria	Achlorhydrie
Acholia	Acholie
Acid indigestion	Indigestion gastrique
Acid phosphatase high	Phosphatase acide élevée
Acid-base disorders	Troubles acido-basiques
Acidemia	Acidémie
Acidosis	Acidose
Acidosis hyperchloraemic	Acidose hyperchlorémique
Acne	Acné
Acne conglobata	Acné conglobata
Acne cystic	Acné kystique
Acne fulminans	Acné fulminans
Acne infantile	Acné infantile
Acne pustular	Acné pustuleuse
Acne vulgaris	Acné vulgaire
Acneiform eruption	Éruption acnéiforme
Acquired haemophilia	Hémophilie acquise
Acquired hemolytic anemia	Anémie hémolytique acquise
Acquired immunodeficiency syndrome	Syndrome immunodéficitaire acquis
Acquired keratoderma	Kératodermie acquise
Acquired lipoatrophic diabetes	Diab?te lipoatrophique acquis
Acquired megacolon	Mégacôlon acquis
